TenLaptop,GiaLaptop,inch,DoPhanGiai,LoaiManHinh,KhacMH,HangCPU,DongCPU,DoiCPU,DungLuongRAM,LoaiRAM,BusRAM,OCung,CardDoHoa,HDH,TrongLuong,XuatXu,NoiMua
Laptop HP 15s-fq5145TU i7 1255U,17.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, BrightView Micro-edge WLED-backlit",Intel, i7, 1255U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.69 kg,Trung Quốc,FPT
Laptop Acer Swift 3 SF314-43-R4X3 R5 5500U,15.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Acer ComfyView LED-backlit",AMD,Ryzen 5, 5500U,16 GB, LPDDR4X, 4266 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.19 kg,Trung Quốc,FPT
Laptop Acer Swift 3 SF314-511-55QE i5 1135G7,17.690.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Acer ComfyView Anti-glare LED-backlit",Intel, i5, 1135G7,16 GB, LPDDR4X, 4266 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.19 kg,ắt 2021,FPT
Laptop HP 15s-fq5163TU i5 1235U,15.490.000,15.6 inch, 1920 x 1080 Pixels, WVA," 60 Hz, 250 nits, Wide-Viewing Angle (WVA)",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,,Windows 11 Home Single Language,1.69 kg,Trung Quốc,FPT
Laptop Dell Inspiron 15 N3520 i5-1235U,16.490.000,15.6 inch, 1920 x 1080 Pixels, WVA," 120 Hz, 220 nits, Anti-Glare LED-Backlit Display",Intel, i5, 1235U,8 GB , DDR4, 2666 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.9 kg,Trung Quốc,FPT
Laptop Acer Nitro Gaming AN515-57-5669 i5 11400H,17.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView LED-backlit",Intel, i5, 11400H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce GTX 1650 4GB; Intel UHD Graphics,Windows 11 Home,2.2 kg,Trung Quốc,FPT
Laptop HP 15s-fq5080TU i5-1235U,14.290.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, Anti - Glare",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.69 kg,Trung Quốc,FPT
Laptop Acer Aspire 3 A315-58-53S6 i5 1135G7,11.490.000,15.6 inch, 1920 x 1080 Pixels, TN," 60 Hz, Acer ComfyView LED-backlit",Intel, i5, 1135G7,8 GB , DDR4, 2400 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home (ColorOS 12),1.7 kg,Trung Quốc,FPT
Laptop HP Pavilion 15-eg2086TU i3 1215U,13.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS FHD",Intel, i3, 1215U,8 GB , DDR4, 3200 MHz,SSD 256 GB,,Windows 11 Home,1.65 kg,Trung Quốc,FPT
Laptop HP Pavilion 15 eg2058TU i5 1240P,15.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 250 nits, IPS FHD",Intel, i5, 1240P,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.702 kg,Trung Quốc,FPT
Laptop Lenovo Gaming Legion 5 15ARH7 R5 6600H,24.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 165 Hz, 300 nits, IPS",AMD,Ryzen 5, 6600H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,2.35 kg,Trung Quốc,FPT
Laptop HP Pavilion 15-eg2081TU i5 1240P,18.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," Hãng không công bố, FHD",Intel, i5, 1240P,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.72 kg,Trung Quốc,FPT
Laptop Dell Inspiron 16 N5620 i5 1240P,24.990.000,16.0 inch, 1920 x 1200 Pixels, WVA," 60 Hz, 250 nits, Anti - Glare",Intel, i5, 1240P,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.97 kg,Trung Quốc,FPT
Laptop Lenovo Yoga 7 14ACN6 R5 5600U,17.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, IPS LCD",AMD,Ryzen 5, 5600U,8 GB, LPDDR4X, 4266 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.45 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX506HC-HN949W i5 11400H,21.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, Anti-Glare LED Backlit",Intel, i5, 11400,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel HD Graphics,Windows 11 Home,2.3 kg,Trung Quốc,FPT
Laptop HP Pavilion 14 dv2035TU i5 1235U,15.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, BrightView LED Backlit Chính:",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home,1.41 kg,Trung Quốc,FPT
Laptop MSI GF63 Thin 11UC-444VN i5 11400H,17.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, IPS LCD LED Backlit, True Tone",Intel, i5, 11400H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home Single Language,1.86 kg,Trung Quốc,FPT
Laptop Lenovo Gaming Legion 5 15ARH7 R7 6800H,26.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 165 Hz, 300 nits, IPS",AMD,Ryzen 7, 6800H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,2.35 kg,Trung Quốc,FPT
Laptop MSI Gaming Katana GF66 12UCK-815VN i5 12450H,20.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",Intel, i5, 12450H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home,2.25 kg,Trung Quốc,FPT
